"Visit name";"Form name";"Form number";"Field number";"Exported field type";"Original field type";"Variable name";"Field label";"Optiongroup name";"Field required";"Field min";"Field max";"Field units";"Field info";"Calculation/summary template";"Field hidden";"Dependency parent name";"Field dependency operator";"Field dependency value"
Baseline;Inclusion;1;5.2;radio;radio;V1_Incl_ICP2;"Did parent/caregiver (2) sign the informed consent";YesNoNA;1;;;;;;0;"Does the child have another parent/caregiver";==;1
Baseline;Inclusion;1;5.2.1;date;date;V1_Incl_ICP2Dat;"Date of informed consent parent/caregiver (2)";;1;;;;;;0;"Did parent/caregiver (2) sign the informed consent";==;1
Baseline;Inclusion;1;6;date;date;V1_Incl_ICResDat;"Date IC signed by researcher";;1;;;;;;0;;;
Baseline;Inclusion;1;7;radio;radio;V1_Incl_Inclus;"Can the subject be included";YesNoNA;1;;;;;;0;;;
Baseline;Demographics;2;1;date;date;V1_Demo_DOB;"Date of birth";;1;;;;;;0;;;
Baseline;Demographics;2;2;calculation;calculation;V1_Demo_Age;"Age at baseline visit";;0;;;;;"var dob = moment('{V1_Demo_DOB}', 'DD-MM-YYYY');var visitdate = moment('{V1_Incl_VisDat}', 'DD-MM-YYYY');var plus1d = visitdate.add(1, 'days');var age = moment.duration(plus1d.diff(dob));var years = age.years();var months = age.months();years + "" years "" + months + "" months"";";0;;;
Baseline;Demographics;2;3;radio;radio;V1_Demo_Gender;Gender;Gender;1;;;;;;0;;;
Baseline;Demographics;2;4;numeric;numeric;V1_Demo_Height;Height;;1;;;cm;;;0;;;
Baseline;Demographics;2;5;numeric;numeric;V1_Demo_Weight;Weight;;1;;;kg;;;0;;;
Baseline;Demographics;2;6;calculation;calculation;V1_Demo_BMI;BMI;;0;;;kg/m2;;{V1_Demo_Weight}/(({V1_Demo_Height}/100)*({V1_Demo_Height}/100));0;;;
Baseline;Demographics;2;7;radio;radio;V1_Demo_Ethnicity;Ethnicity;Ethnicity;1;;;;;;0;;;
Baseline;Demographics;2;7.1;string;string;V1_Demo_EthnicityOth;"If other ethnicity, specify";;1;;;;;;0;Ethnicity;==;98
Baseline;Demographics;2;7.2;radio;radio;V1_Demo_EthniM;"Ethnicity of mother";Ethnicity;1;;;;;;0;Ethnicity;==;96
Baseline;Demographics;2;7.2.1;string;string;V1_Demo_EthniMOth;"If other ethnicity, specify";;1;;;;;;0;"Ethnicity of mother";==;98
Baseline;Demographics;2;7.3;radio;radio;V1_Demo_EthniF;"Ethnicity of father";Ethnicity;1;;;;;;0;Ethnicity;==;96
Baseline;Demographics;2;7.3.1;string;string;V1_Demo_EthniFOth;"If other ethnicity, specify";;1;;;;;;0;"Ethnicity of father";==;98
Baseline;Demographics;2;8;radio;radio;V1_Demo_Adopted;"Is the child adopted";YesNoNA;1;;;;;;0;;;
Baseline;Demographics;2;9;radio;radio;V1_Demo_RelFAsthma;"First degree relative with asthma";YesNoUnk;1;;;;;;0;;;
Baseline;Demographics;2;9.1;checkbox;checkbox;V1_Demo_RelFAsthmaSpec#Father;"If yes, specify relative";RelFSpec;1;;;;;;0;"First degree relative with asthma";==;1
Baseline;Demographics;2;9.1;checkbox;checkbox;V1_Demo_RelFAsthmaSpec#Mother;"If yes, specify relative";RelFSpec;1;;;;;;0;"First degree relative with asthma";==;1
Baseline;Demographics;2;9.1;checkbox;checkbox;V1_Demo_RelFAsthmaSpec#Brother;"If yes, specify relative";RelFSpec;1;;;;;;0;"First degree relative with asthma";==;1
Baseline;Demographics;2;9.1;checkbox;checkbox;V1_Demo_RelFAsthmaSpec#Sister;"If yes, specify relative";RelFSpec;1;;;;;;0;"First degree relative with asthma";==;1
Baseline;Demographics;2;10;radio;radio;V1_Demo_RelSAsthma;"Second degree relative with asthma";YesNoUnk;1;;;;;;0;;;
Baseline;Demographics;2;10.1;checkbox;checkbox;V1_Demo_RelSAsthmaSpec#Grandparent;"If yes, specify relative";RelSSpec;1;;;;;;0;"Second degree relative with asthma";==;1
Baseline;Demographics;2;10.1;checkbox;checkbox;"V1_Demo_RelSAsthmaSpec#Uncle / aunt";"If yes, specify relative";RelSSpec;1;;;;;;0;"Second degree relative with asthma";==;1
Baseline;Demographics;2;10.1;checkbox;checkbox;"V1_Demo_RelSAsthmaSpec#Nephew / niece";"If yes, specify relative";RelSSpec;1;;;;;;0;"Second degree relative with asthma";==;1
Baseline;Demographics;2;10.1;checkbox;checkbox;V1_Demo_RelSAsthmaSpec#Half-sibling;"If yes, specify relative";RelSSpec;1;;;;;;0;"Second degree relative with asthma";==;1
Baseline;Demographics;2;11;radio;radio;V1_Demo_RelFAllergic;"First degree relative with other allergic disease";YesNoUnk;1;;;;"e.g. eczema, allergic rhinitis, food allergy";;0;;;
Baseline;Demographics;2;11.1;checkbox;checkbox;V1_Demo_RelFAllergicSpec#Father;"If yes, specify relative";RelFSpec;1;;;;;;0;"First degree relative with other allergic disease";==;1
Baseline;Demographics;2;11.1;checkbox;checkbox;V1_Demo_RelFAllergicSpec#Mother;"If yes, specify relative";RelFSpec;1;;;;;;0;"First degree relative with other allergic disease";==;1
Baseline;Demographics;2;11.1;checkbox;checkbox;V1_Demo_RelFAllergicSpec#Brother;"If yes, specify relative";RelFSpec;1;;;;;;0;"First degree relative with other allergic disease";==;1
Baseline;Demographics;2;11.1;checkbox;checkbox;V1_Demo_RelFAllergicSpec#Sister;"If yes, specify relative";RelFSpec;1;;;;;;0;"First degree relative with other allergic disease";==;1
Baseline;Demographics;2;12;radio;radio;V1_Demo_RelSAllergic;"Second degree relative with other allergic disease";YesNoUnk;1;;;;"e.g. eczema, allergic rhinitis, food allergy";;0;;;
Baseline;Demographics;2;12.1;checkbox;checkbox;V1_Demo_RelSAllergicSpec#Grandparent;"If yes, specify relative";RelSSpec;1;;;;;;0;"Second degree relative with other allergic disease";==;1
Baseline;Demographics;2;12.1;checkbox;checkbox;"V1_Demo_RelSAllergicSpec#Uncle / aunt";"If yes, specify relative";RelSSpec;1;;;;;;0;"Second degree relative with other allergic disease";==;1
Baseline;Demographics;2;12.1;checkbox;checkbox;"V1_Demo_RelSAllergicSpec#Nephew / niece";"If yes, specify relative";RelSSpec;1;;;;;;0;"Second degree relative with other allergic disease";==;1
Baseline;Demographics;2;12.1;checkbox;checkbox;V1_Demo_RelSAllergicSpec#Half-sibling;"If yes, specify relative";RelSSpec;1;;;;;;0;"Second degree relative with other allergic disease";==;1
Baseline;Demographics;2;13;radio;radio;V1_Demo_SmokingP;"Smoking of parents and caregivers";SmokingP;1;;;;;;0;;;
Baseline;Demographics;2;13.1;radio;radio;V1_Demo_SmokingPSpec;"If smoking, specify";SmokingPSpec;1;;;;;;0;"Smoking of parents and caregivers";!=;0
Baseline;Demographics;2;13.2;numeric;numeric;V1_Demo_SmokingCig;"If smoking, amount of cigarettes";;1;;;"per day";;;0;"Smoking of parents and caregivers";!=;0
Baseline;Demographics;2;14;radio;radio;V1_Demo_Smoking2;"Is there second hand smoking (presence of smokers in the same room as the child)";YesNoUnk;1;;;;"assessed by researcher";;0;;;
Baseline;Demographics;2;15;radio;radio;V1_Demo_Smoking3;"Is there third hand smoking (contact with smokers or places where has been smoked in)";YesNoUnk;1;;;;"assessed by researcher";;0;;;
Baseline;Demographics;2;16;radio;radio;V1_Demo_SmokingPreg;"Smoking during most of the pregnancy";YesNoNA;1;;;;;;0;;;
Baseline;Demographics;2;16.1;numeric;numeric;V1_Demo_SmokingPregCig;"If smoking, amount of cigarettes";;1;;;"per day";;;0;"Smoking during most of the pregnancy";==;1
Baseline;Demographics;2;17;radio;radio;V1_Demo_FuelCook;"What fuel is usually used for cooking";FuelCook;1;;;;;;0;;;
Baseline;Demographics;2;17.1;string;string;V1_Demo_FuelCookOth;"If other, specify";;1;;;;;;0;"What fuel is usually used for cooking";==;98
Baseline;Demographics;2;18;radio;radio;V1_Demo_FuelHeat;"In your house, what fuel is used for heating";FuelHeat;1;;;;;;0;;;
Baseline;Demographics;2;18.1;string;string;V1_Demo_FuelHeatOth;"If other, specify";;1;;;;;;0;"In your house, what fuel is used for heating";==;98
Baseline;Demographics;2;19;radio;radio;V1_Demo_LivEnv;"How would you describe your living environment";LivEnv;1;;;;;;0;;;
Baseline;Demographics;2;20;radio;radio;V1_Demo_TrucksPass;"How often do trucks pass through the street where you live, on weekdays";TrucksPass;1;;;;;;0;;;
Baseline;Demographics;2;21;radio;radio;V1_Demo_FurryPets;"Exposure  to furry pets";YesNoNA;1;;;;;;0;;;
Baseline;Demographics;2;21.1;checkbox;checkbox;V1_Demo_FurryPetsSpec#Dog;"If yes, specify";FurryPetsSpec;1;;;;;;0;"Exposure  to furry pets";==;1
Baseline;Demographics;2;21.1;checkbox;checkbox;V1_Demo_FurryPetsSpec#Cat;"If yes, specify";FurryPetsSpec;1;;;;;;0;"Exposure  to furry pets";==;1
Baseline;Demographics;2;21.1;checkbox;checkbox;V1_Demo_FurryPetsSpec#Horse;"If yes, specify";FurryPetsSpec;1;;;;;;0;"Exposure  to furry pets";==;1
Baseline;Demographics;2;21.1;checkbox;checkbox;V1_Demo_FurryPetsSpec#Other;"If yes, specify";FurryPetsSpec;1;;;;;;0;"Exposure  to furry pets";==;1
Baseline;Demographics;2;22;numeric;numeric;V1_Demo_SiblingsO;"How many older brothers and sisters does the child have";;1;;;;;;0;;;
Baseline;Demographics;2;23;numeric;numeric;V1_Demo_SiblingsY;"How many younger brothers and sisters does the child have";;1;;;;;;0;;;
Baseline;Demographics;2;24;radio;radio;V1_Demo_Daycare;"Day-care attendance";YesNoNA;1;;;;;;0;;;
Baseline;Demographics;2;24.1;numeric;numeric;V1_Demo_DaycareAge;"If yes, age at start";;1;;;months;;;0;"Day-care attendance";==;1
Baseline;Demographics;2;25;radio;radio;V1_Demo_EBF;"Exclusive breastfeeding";YesNoNA;1;;;;"months of breastfeeding without introduction of formula or solids";;0;;;
Baseline;Demographics;2;25.1;numeric;numeric;V1_Demo_EBFSpec;"If yes, specify duration";;1;;;months;;;0;"Exclusive breastfeeding";==;1
Baseline;Demographics;2;26;radio;radio;V1_Demo_NEBF;"Non-exclusive Breastfeeding";YesNoNA;1;;;;"months of breastfeeding while also feeding formula or solids";;0;;;
Baseline;Demographics;2;26.1;numeric;numeric;V1_Demo_NEBFSpec;"If yes, specify duration";;1;;;months;;;0;"Non-exclusive Breastfeeding";==;1
Baseline;Demographics;2;27;numeric;numeric;V1_Demo_IntrSolids;"Age at introduction of solids";;1;;;months;;;0;;;
Baseline;Demographics;2;28;radio;radio;V1_Demo_PregCompl;"Complicated pregnancy";YesNoNA;1;;;;"e.g. referral to hospital because of pregnancy related disease, referral to hospital because of fetal problems, maternal disease or use of medication that potentially affected the child";;0;;;
Baseline;Demographics;2;28.1;checkbox;checkbox;"V1_Demo_PregComplSpec#Maternal disease, pregnancy related";"If yes, specify";PregComplSpec;1;;;;;;0;"Complicated pregnancy";==;1
Baseline;Demographics;2;28.1;checkbox;checkbox;"V1_Demo_PregComplSpec#Maternal disease, not pregnancy related";"If yes, specify";PregComplSpec;1;;;;;;0;"Complicated pregnancy";==;1
Baseline;Demographics;2;28.1;checkbox;checkbox;"V1_Demo_PregComplSpec#Fetal problems";"If yes, specify";PregComplSpec;1;;;;;;0;"Complicated pregnancy";==;1
Baseline;Demographics;2;28.1;checkbox;checkbox;V1_Demo_PregComplSpec#Other;"If yes, specify";PregComplSpec;1;;;;;;0;"Complicated pregnancy";==;1
Baseline;Demographics;2;29;radio;radio;V1_Demo_BirthMode;"Mode of birth";BirthMode;1;;;;;;0;;;
Baseline;Demographics;2;30;radio;radio;V1_Demo_BirthCompl;"Birth complications";YesNoNA;1;;;;;;0;;;
Baseline;Demographics;2;30.1;checkbox;checkbox;"V1_Demo_BirthComplSpec#Transient pulmonary problems";"If yes, specify";BirthComplSpec;1;;;;;;0;"Birth complications";==;1
Baseline;Demographics;2;30.1;checkbox;checkbox;"V1_Demo_BirthComplSpec#Perinatal infection";"If yes, specify";BirthComplSpec;1;;;;;;0;"Birth complications";==;1
Baseline;Demographics;2;30.1;checkbox;checkbox;"V1_Demo_BirthComplSpec#Perinatal asphyxia";"If yes, specify";BirthComplSpec;1;;;;;;0;"Birth complications";==;1
Baseline;Demographics;2;30.1;checkbox;checkbox;V1_Demo_BirthComplSpec#Other;"If yes, specify";BirthComplSpec;1;;;;;;0;"Birth complications";==;1
Baseline;Demographics;2;31;radio;radio;V1_Demo_BirthPlace;"Place of birth";BirthPlace;1;;;;;;0;;;
Baseline;Demographics;2;32;numeric;numeric;V1_Demo_GAw;"Gestational age at delivery: Weeks:";;1;;;weeks;;;0;;;
Baseline;Demographics;2;33;numeric;numeric;V1_Demo_GAd;"Gestational age at delivery: Days:";;1;;;days;;;0;;;
Baseline;Demographics;2;34;numeric;numeric;V1_Demo_BirthWeight;"Birth weight";;1;;;g;;;0;;;
Baseline;Demographics;2;35;radio;radio;V1_Demo_BirthO2;"Was the child in need for extra oxygen after birth";YesNoNA;1;;;;;;0;;;
Baseline;Demographics;2;35.1;radio;radio;V1_Demo_BirthO2Spec;"If yes, specify";BirthO2Spec;1;;;;;;0;"Was the child in need for extra oxygen after birth";==;1
Baseline;Demographics;2;36;radio;radio;V1_Demo_VaccRVP;"Vaccinated according to RVP";VaccRVP;1;;;;;;0;;;
Baseline;Demographics;2;36.1;checkbox;checkbox;"V1_Demo_VaccRVPMiss#8 weeks: DKTP";"Missed vaccinations of the RVP";VaccRVPMiss;1;;;;;;0;"Vaccinated according to RVP";==;2
Baseline;Demographics;2;36.1;checkbox;checkbox;"V1_Demo_VaccRVPMiss#8 weeks: Hib";"Missed vaccinations of the RVP";VaccRVPMiss;1;;;;;;0;"Vaccinated according to RVP";==;2
Baseline;Demographics;2;36.1;checkbox;checkbox;"V1_Demo_VaccRVPMiss#8 weeks: HepB";"Missed vaccinations of the RVP";VaccRVPMiss;1;;;;;;0;"Vaccinated according to RVP";==;2
Baseline;Demographics;2;36.1;checkbox;checkbox;"V1_Demo_VaccRVPMiss#8 weeks: Pneu";"Missed vaccinations of the RVP";VaccRVPMiss;1;;;;;;0;"Vaccinated according to RVP";==;2
Baseline;Demographics;2;36.1;checkbox;checkbox;"V1_Demo_VaccRVPMiss#3 months: DKTP";"Missed vaccinations of the RVP";VaccRVPMiss;1;;;;;;0;"Vaccinated according to RVP";==;2
Baseline;Demographics;2;36.1;checkbox;checkbox;"V1_Demo_VaccRVPMiss#3 months: Hib";"Missed vaccinations of the RVP";VaccRVPMiss;1;;;;;;0;"Vaccinated according to RVP";==;2
Baseline;Demographics;2;36.1;checkbox;checkbox;"V1_Demo_VaccRVPMiss#3 months: HepB";"Missed vaccinations of the RVP";VaccRVPMiss;1;;;;;;0;"Vaccinated according to RVP";==;2
Baseline;Demographics;2;36.1;checkbox;checkbox;"V1_Demo_VaccRVPMiss#4 months: DKTP";"Missed vaccinations of the RVP";VaccRVPMiss;1;;;;;;0;"Vaccinated according to RVP";==;2
Baseline;Demographics;2;36.1;checkbox;checkbox;"V1_Demo_VaccRVPMiss#4 months: Hib";"Missed vaccinations of the RVP";VaccRVPMiss;1;;;;;;0;"Vaccinated according to RVP";==;2
Baseline;Demographics;2;36.1;checkbox;checkbox;"V1_Demo_VaccRVPMiss#4 months: HepB";"Missed vaccinations of the RVP";VaccRVPMiss;1;;;;;;0;"Vaccinated according to RVP";==;2
Baseline;Demographics;2;36.1;checkbox;checkbox;"V1_Demo_VaccRVPMiss#4 months: Pneu";"Missed vaccinations of the RVP";VaccRVPMiss;1;;;;;;0;"Vaccinated according to RVP";==;2
Baseline;Demographics;2;36.1;checkbox;checkbox;"V1_Demo_VaccRVPMiss#11 months: DKTP";"Missed vaccinations of the RVP";VaccRVPMiss;1;;;;;;0;"Vaccinated according to RVP";==;2
Baseline;Demographics;2;36.1;checkbox;checkbox;"V1_Demo_VaccRVPMiss#11 months: Hib";"Missed vaccinations of the RVP";VaccRVPMiss;1;;;;;;0;"Vaccinated according to RVP";==;2
Baseline;Demographics;2;36.1;checkbox;checkbox;"V1_Demo_VaccRVPMiss#11 months: HepB";"Missed vaccinations of the RVP";VaccRVPMiss;1;;;;;;0;"Vaccinated according to RVP";==;2
Baseline;Demographics;2;36.1;checkbox;checkbox;"V1_Demo_VaccRVPMiss#11 months: Pneu";"Missed vaccinations of the RVP";VaccRVPMiss;1;;;;;;0;"Vaccinated according to RVP";==;2
Baseline;Demographics;2;36.1;checkbox;checkbox;"V1_Demo_VaccRVPMiss#14 months: BMR";"Missed vaccinations of the RVP";VaccRVPMiss;1;;;;;;0;"Vaccinated according to RVP";==;2
Baseline;Demographics;2;36.1;checkbox;checkbox;"V1_Demo_VaccRVPMiss#14 months: MenACWY";"Missed vaccinations of the RVP";VaccRVPMiss;1;;;;;;0;"Vaccinated according to RVP";==;2
Baseline;Demographics;2;36.1;checkbox;checkbox;"V1_Demo_VaccRVPMiss#4 years: DKTP";"Missed vaccinations of the RVP";VaccRVPMiss;1;;;;;;0;"Vaccinated according to RVP";==;2
Baseline;Demographics;2;37;numeric;numeric;V1_Demo_HeightM;"Height of mother";;1;;;cm;;;0;;;
Baseline;Demographics;2;38;numeric;numeric;V1_Demo_HeightF;"Height of father";;1;;;cm;;;0;;;
Baseline;Demographics;2;39;radio;radio;V1_Demo_API1;"Asthma in a parent, documented by a physician";YesNo;1;;;;;;0;"Study group";==;2
Baseline;Demographics;2;40;radio;radio;V1_Demo_API2;"Eczema in the child, documented by a physician";YesNo;1;;;;;;0;"Study group";==;2
Baseline;Demographics;2;41;radio;radio;V1_Demo_mAPI1;"Inhalation allergy in the child, documented by a physician";YesNo;1;;;;;;0;"Study group";==;2
Baseline;Demographics;2;42;radio;radio;V1_Demo_API3;"Allergic rhinitis in the child, documented by a physician";YesNo;1;;;;;;0;"Study group";==;2
Baseline;Demographics;2;43;radio;radio;V1_Demo_API4;"Wheezing apart from colds, reported by the parents";YesNo;1;;;;;;0;"Study group";==;2
Baseline;Demographics;2;44;radio;radio;V1_Demo_API5;"Peripheral eosinophilia ≥4%";YesNo;1;;;;;;0;"Study group";==;2
Baseline;Demographics;2;45;radio;radio;V1_Demo_mAPI2;"Food allergy in the child, documented by a physician";YesNo;1;;;;;;0;"Study group";==;2
Baseline;Demographics;2;46;calculation;calculation;V1_Demo_APIRes;"API result";;0;;;;;"var major = {V1_Demo_API1} + {V1_Demo_API2};var minor = {V1_Demo_API3} + {V1_Demo_API4} + {V1_Demo_API5};if (major >= 1 || minor >= 2) ""Positive""else ""Negative""";0;"Study group";==;2
Baseline;Demographics;2;47;calculation;calculation;V1_Demo_mAPIRes;"mAPI result";;0;;;;;"var major = {V1_Demo_API1} + {V1_Demo_API2}  + {V1_Demo_mAPI1};
var minor = {V1_Demo_API3} + {V1_Demo_API4} + {V1_Demo_API5} + {V1_Demo_mAPI2};
if (major >= 1 || minor >= 2) ""Positive""
else ""Negative""";0;"Study group";==;2
Baseline;"Medical history";3;1;radio;radio;V1_MH_InhAll;"Inhalation allergy";YesNoUnk;1;;;;;;0;;;
Baseline;"Medical history";3;2;radio;radio;V1_MH_Eczema;Eczema;YesNoUnk;1;;;;;;0;;;
Baseline;"Medical history";3;3;radio;radio;V1_MH_AllRhinitis;"Allergic rhinitis";YesNoUnk;1;;;;;;0;;;
Baseline;"Medical history";3;4;radio;radio;V1_MH_FoodAll;"Food allergy";YesNoUnk;1;;;;;;0;;;
Baseline;"Medical history";3;5;radio;radio;V1_MH_PulDisOth;"Other pulmonary disease";YesNoUnk;1;;;;;;0;;;
Baseline;"Medical history";3;5.1;string;string;V1_MH_PulDisOthSpec;"If yes, specify";;1;;;;;;0;"Other pulmonary disease";==;1
Baseline;"Medical history";3;6;radio;radio;V1_MH_ABX;"Antibiotics in first year of life";YesNoUnk;1;;;;;;0;;;
Baseline;"Medical history";3;6.1;numeric;numeric;V1_MH_ABXSpec;"If yes, specify amount of courses";;1;;;;;;0;"Antibiotics in first year of life";==;1
Baseline;"Medical history";3;7;radio;radio;V1_MH_HospAdmBronchPneu;"Hospital admission because of airway infection in first year of life";YesNoNA;1;;;;;;0;;;
Baseline;"Medical history";3;7.1;checkbox;checkbox;"V1_MH_HospAdmBronchPneuSpec#Viral bronchiolitis";"If yes, specify";HospAdmBronchPneuSpec;1;;;;;;0;"Hospital admission because of airway infection in first year of life";==;1
Baseline;"Medical history";3;7.1;checkbox;checkbox;"V1_MH_HospAdmBronchPneuSpec#Viral bronchiolitis with bacterial superinfection";"If yes, specify";HospAdmBronchPneuSpec;1;;;;;;0;"Hospital admission because of airway infection in first year of life";==;1
Baseline;"Medical history";3;7.1;checkbox;checkbox;"V1_MH_HospAdmBronchPneuSpec#Bacterial pneumonia";"If yes, specify";HospAdmBronchPneuSpec;1;;;;;;0;"Hospital admission because of airway infection in first year of life";==;1
Baseline;"Medical history";3;7.1;checkbox;checkbox;"V1_MH_HospAdmBronchPneuSpec#Episode of wheezing";"If yes, specify";HospAdmBronchPneuSpec;1;;;;;;0;"Hospital admission because of airway infection in first year of life";==;1
Baseline;"Medical history";3;7.1;checkbox;checkbox;V1_MH_HospAdmBronchPneuSpec#Unknown;"If yes, specify";HospAdmBronchPneuSpec;1;;;;;;0;"Hospital admission because of airway infection in first year of life";==;1
Baseline;"Medical history";3;8;radio;radio;V1_MH_DiseaseOth;"Other diseases (physical or mental)";YesNoNA;1;;;;;;0;;;
Baseline;"Medical history";3;8.1;string;string;V1_MH_DiseaseOthSpec;"If yes, specify";;1;;;;;;0;"Other diseases (physical or mental)";==;1
Baseline;"Medical history";3;9;radio;radio;V1_MH_Sur;Surgery;YesNoNA;1;;;;;;0;;;
Baseline;"Medical history";3;9.1;checkbox;checkbox;V1_MH_SurSpec#ENT-surgery;"If yes, specify";SurSpec;1;;;;;;0;Surgery;==;1
Baseline;"Medical history";3;9.1;checkbox;checkbox;"V1_MH_SurSpec#Other surgery";"If yes, specify";SurSpec;1;;;;;;0;Surgery;==;1
Baseline;"Medical history";3;10;numeric;numeric;V1_MH_WheezeEpiF;"Frequency dyspnoeic / wheezing episodes in previous 12 months";;1;;;"per year";;;0;;;
Baseline;"Medical history";3;10.1;radio;radio;V1_MH_WheezeEpiTrig1;"Triggers for dyspnoeic / wheezing episode : respiratory tract infectios (viral/bacterial)";YesNoNA;1;;;;;;0;"Frequency dyspnoeic / wheezing episodes in previous 12 months";>;0
Baseline;"Medical history";3;10.2;radio;radio;V1_MH_WheezeEpiTrig2;"Triggers for dyspnoeic / wheezing episode : allergic triggers (animals, dust, pollen, etc)";YesNoNA;1;;;;;;0;"Frequency dyspnoeic / wheezing episodes in previous 12 months";>;0
Baseline;"Medical history";3;10.3;radio;radio;V1_MH_WheezeEpiTrig3;"Triggers for dyspnoeic / wheezing episode : aspecific triggers (mist, humidity, cigarettes, etc)";YesNoNA;1;;;;;;0;"Frequency dyspnoeic / wheezing episodes in previous 12 months";>;0
Baseline;"Medical history";3;10.4;radio;radio;V1_MH_WheezeEpiTrig4;"Triggers for dyspnoeic / wheezing episode : exercise";YesNoNA;1;;;;;;0;"Frequency dyspnoeic / wheezing episodes in previous 12 months";>;0
Baseline;Randomization;4;2;radio;radio;V1_Rand_RandGroup;"Randomization group";RandGroup;1;;;;;;0;"Study group";==;2
Baseline;Randomization;4;3;radio;radio;V1_Rand_BreathResult;"Breath test result";"Breath Test Result";1;;;;;;0;;;
Baseline;Randomization;4;3.1;date;date;V1_Rand_BreathInformDate;"Fill in date of informing parents/GP/paediatrician";;1;;;;;;0;"Breath test result";!=;3
Baseline;Randomization;4;4;radio;radio;V1_Rand_LetterTreat;"Letter of information about treatment protocol sent to GP/paediatrician";YesNoNA;1;;;;;;0;"Study group";==;2
Baseline;Medication;5;1;radio;radio;V1_Med_App;"Parents use mobile application for medication record";YesNoNA;1;;;;;;0;;;
Baseline;Medication;5;1.1;radio;radio;V1_Med_MedUse;"Does the child take medication";YesNoNA;1;;;;;;0;"Parents use mobile application for medication record";==;0
Baseline;"Test preparations";6;1;radio;radio;V1_Tprep_StopCortico1m;"Did the patient stop all inhaled corticosteroid medication 1 month prior to the baseline visite";YesNoNA;1;;;;;;0;;;
Baseline;"Test preparations";6;1.1;radio;radio;V1_Tprep_StopCortico1mSpec;"If no, specify reason";StopCortico1mSpec;1;;;;;;0;"Did the patient stop all inhaled corticosteroid medication 1 month prior to the baseline visite";==;0
Baseline;"Test preparations";6;2;radio;radio;V1_TPrep_InhMedUsed;"Inhalation medication used < 3 hours before test";YesNoNA;1;;;;;;0;;;
Baseline;"Test preparations";6;3;radio;radio;V1_TPrep_FoodUsed;"Food/beverage used <1 hour before test";YesNoNA;1;;;;;;0;;;
Baseline;"Test preparations";6;4;radio;radio;V1_TPrep_Exercise;"Excercise <1 hour before test";YesNoNA;1;;;;;;0;;;
Baseline;"Test preparations";6;5;radio;radio;V1_TPrep_CurrRespInf;"Current respiratory tract infection";YesNoNA;1;;;;;;0;;;
Baseline;"Test preparations";6;6;radio;radio;V1_TPrep_ChgHousFam;"Any changes in housing situation and/or family composition";YesNoNA;1;;;;;;0;;;
Baseline;"Test preparations";6;6.1;radio;radio;V1_TPrep_ChgSmoking2;"Is there second hand smoking (presence of smokers in the same room as the child)";YesNoUnchg;1;;;;;;0;"Any changes in housing situation and/or family composition";==;1
